F/CAKES,FISHCAKES
METLC,Metallic
MEXICANBEER,Mexican Beer
MF,Max Factor
MFG,MEATY FEAST IN GRAVY
MFL,My Fit Life
MFLS,MY FIT LIFESTYLE
MFUNCTION,Multifunction
MGMT,Management
MGNOLIA,MAGNOLIA
MGNOLIA4,Magnolia 4
MIC/WTR,Micellar Water
MICRO-D/BR,MICRO-DERABRASION
MICRO-D/BRASION,Micro-Dermabrasion
MICROSTARS,Micro Stars
MIGNOLITOMATO,Mignoli Tomato
MIL/SBREAD,MILLIONAIRES SHORTBREAD
MILD&LIGHT,Mild & Light
MILK&,Milk &
MILK/DK,Milk Dark
MILK4,Milk 4
MILKCHOC/ALMOND,Milk Chocolate/Almond
MILKS/SKIMMED,Milk Semi Skimmed
MILKSHAKERASPBERRY,Milk Shake Raspberry
MILKSHAKESTRAWBERRY,Milk Shake Strawberry
MILLSFLAVO,Mills Flavour
MIN,Mineral
MINCEDSTEAK,MINCED STEAK
MINERAL/S,Mineral Sparkling
MINIBACON,Mini Bacon
MINICHICKEN,MINI CHICKEN
MINIEGGS,Mini Eggs
MINIFIGURE,Mini figure
MINIFILLETS,Mini Fillets
MINIINFLATABLES,Mini Inflatables
MINIKNOT,Mini Knot
MINIM/MALLOWS,Mini Marshmallows
MINIMELTON,Mini Melton
MINIMUFFINS,MINI MUFFINS
MINIPLOUGHMAN,Mini Ploughman
MINIPORK,Mini Pork
MINIPRK,Mini Pork
MINIS/BERRY,Mini Strawberry
MINISAVOURY,MINI SAVOURY
MINIVARIETY,MINI VARIETY
MINS,MINUTE
MINSTRELSTREAT,Minstrels Treat
MINTASST,Mint Assortment
MINTCHOCOLATE,Mint Chocolate
MINTEDLAMB,Minted Lamb
MINTLAMB,Mint Lamb
MINTMILKSHAKE,Mint Milkshake
MINTMOUTHWASH,Mint Mouthwash
MINTTEABAGS,Mint Teabags
MIRAC/RCVRY,Miraculous Recovery
MISC,MISCELLANEOUS
MISIN,MISSION
MISTRES,Mistress
MITM,Melt in the middle 
MIX CHOCOLATE BLACK,Mixed chocolate and black
MIX&MINT,Mix & Mint
MIX25GCKN&P/TOES,Mix 25G Chicken & Potatoes
MIX370G,Mix 370g
MIX425G,Mix 425g
MIX500G,Mix 500g
MIX50GBOLOGNESE,Mix 50G Bolognese
MIXCHILLIES,Mix Chillies
MK,Manhattan kitchen
MK&HONEY,Milk & Honey
MLAW,MOTHER IN LAW
MLD,MILD
MLFOR2,Meal for two
MLK,MILK
MLK2.272LTR,MILK 2.272 LTR
MLKCHOC,Milk Chocolate
MLP,My Little Pony
MLT/SGR,Melting Sugar
MLTS,Meltlets
MM,MILLIMETRE
MMM FAMILY BKRY,MMM FAMILY BAKERY
MNCD,MINCED
MNCD/TKYMNCD,Minced Turkey Minced
MNCDBEEF,Minced Beef
MNGO,Mango
MNGS,Mangoes
MNICURE,Manicure
MNITR,Monitor
MNS,MINERALS
MNSZE,Mansize
MNT,Mint
MNTHL,Menthol
MNY SPECIAL THX ,Many Special Thanks
MNY SPECIAL THX,Many Special Thanks
MOB,Mobile
MOCHALATTE,Mocha Latte
MOIST&PROTECT,Moist & Protect
MOISTNG,MOISTURISING
MOISTNG240ML,Moisturising 240 Ml
MOISTURISEAND,Moisturise And
MOISTURISER250ML,Moisturiser 250ml
MONEYBOXSWTS100G,Money box sweets 100g
MONKFISH200G,MONKFISH 200G
MONSTERS2,Monsters 2
MONSTR,Monster
MONT. JEUNESSE,Montagne Jeunesse
MONT.JEUNE,MONTAGNE JEUNESSE
MONTAGNEPORTIONS,MONTAGNE PORTIONS
MONTHSBANA,Months Banana
MONW,MONEY WALLET
MORN.DEW,MORNING DEW
MORNINGAMERICANO,Morning Americano
MOROC,Moroccan
MORRIS4,Morris 4
MORRISMELTON,MORRIS MELTON
MORRISSNACK,MORRIS SNACK
MOSHIMONSTERSTOP,Moshi monsters top
MOSQUITOKILLER,Mosquito Killer
MOUSESHAPES,Mouse Shapes
MOUSSAKA175G,Moussaka175g
MOUSTURISER,Moisturiser
MOUTN,MOUNTAIN
MOZZ,MOZZARELLA
MOZZARELLAAND,MOZZARELLA AND
MOZZARELLAFOR,MOZZARELLA FOR
MOZZARELLAGRATED,MOZZARELLA GRATED
MOZZARELLAPASTA,MOZZARELLA PASTA
MOZZARELLARAVIOLI,Mozzarella Ravioli
MOZZARELLASLICES,MOZZARELLA SLICES
MP,MAPLE
M'PURPOSE,Multi Purpose
MR KON,Mr Kow
MRCLE,Miracle
MRNDE,MARINADE
MS/P,MISS PATISSERIE
MSHRM,Mushroom
MSK,Musk
MSSE,MOUSSE
MSSE200ML,Mousse 200ml
MST,MOISTURISER
MST.,MOISTURISER
MST.REG,MOISTURISER REGULAR
MSTRD,MUSTARD
MSTRD+ALE,Mustard Ale
MSTRDSEED,Mustard Seed
MSTUR,MOISTURE
MSY,MESSY
MT,Mark's Test
MTH,MONTH
MTHBL/BERRY,Month Blueberry
MTHBLUEBERRY,Month Blueberry
MTHCARROT,Month Carrot
MTHFRENCH,Month French
MTHPARSNIP,Month Parsnip
MTHPUMPKIN,Month Pumpkin
MTHR,MOTHER
MTHRED,Month Red
MTHSPINACH,Month Spinach
MTHSQUASH,Month Squash
MTHSWEET,Month Sweet
MTR,METRE
MTRES & PROTCR,MATTRESS & PROTECTOR
MTY,Meaty
MUFFINDESSERT,Muffin Dessert
MUFFINS4PK,Muffins 4 Pack
MUGP/TOE&LEEK,Mug Potato And Leek
MUGTHAI,Mug Thai
MUL/CNR,Muller Corner
MUL/LGHT,Muller Light
MULLERLIGHT,Muller Light
MULLERRICE,Muller Rice
MULTI/VIT,Multi Vitamins
MULTI1,Multi 1
MULTIFRUIT12PK,Multi Fruit 12 Pack
MULTIFRUIT6X100,Multifruit 6x100
MULTIPHYT ONUTRIENTCOMPLEX,Multiphytonutrient complex
MULTIPURPLIGHTER,Multipurpose Lighter
MULTIPURPOSEANTI-BAC,Multipurpose Anti-Bacterial
MULTIVITAMINDRINK,Multi Vitamin Drink
MULTIVITAMINS&,Multivitamins &
MULTIVITAMINS50+,Multivitamins 50 +
MUM&ME,Mum And Me
MUMS,Mum's
MUS/GALS,Museums & Galleries
MUSELI200G,Museli 200g
MUSHROOM&,Mushroom &
MUSHROOM/MADEIRASOUP,MUSHROOM / MADIERA SOUP
MUSHROOMBURGERS,MUSHROOM BURGERS
MUSHROOMLEEK,MUSHROOM LEEK
MUSHROOMPIES,MUSHROOM PIES
MUSHROOMPIZZA,MUSHROOM PIZZA
MUSHROOMQUICHE,Mushroom Quiche
MUSHROOMRAVIOLI,Mushroom Ravioli
MUSHROOMS230G,MUSHROOMS 230G
MUSHROOMS300G,MUSHROOMS 300G
MUSHROOMSLICES,MUSHROOM SLICES
MUSHYCHIP,Mushy Chip
MUSHYPROCESSED,Mushy Processed
MUSLINSQUARES6PK,Muslin squares 6pk
MUSSELSMEAT,MUSSELS MEAT
MV,MARKET VALUE
MXCN,MEXICAN
MXD,MIXED
MXED,Mixed
MXMAS,MERRY CHRISTMAS
MXT,MIXTURE
MY WONDERFUL HSD,My Wonderful Wife
MY-5ORANGE,My-5 Orange
MYICEHOLEFROZEN,My Ice Hole is Frozen!
MYO,Make Your Own
N,&
N. IRELAND,Northern Ireland
N.A.S,No Added Sugar
N.BIO,Non Biological
N.CLRK,Nicky Clarke
N.E.,North East
N.I,Northern Ireland
N.I.,NORTHERN IRELAND
N.I.HEALTHYEATING,Northern Ireland Healthy Eating
N.IRELAND,Northern Ireland
N.STAFFS,NORTH STAFFORDSHIRE
N.Y,New York
N.Y.,NEW YORK
N.Y.BLUES,NEW YORK BLUES
N/A/S,NO ADDED SUGAR
N/A/S500ML,No Added Sugar 500ml
N/A/SALT,No Added Salt
N/A/SALT43G,No Added Salt 43g
N/A/SLT,No added salt
N/A/W ,No Added Water
N/AFFAIR,NIGHT AFFAIR
N/AREO,NON AREASOL
N/AZZUR,Nastro Azzurro
N/BEIGE,NATURAL BEIGE
N/BLUE,NAVY BLUE
N/BORN,Newborn
N/CHSE,Nacho Cheese
N/CKN,No-Chicken
N/COM,NORMAL COMBINATION
N/ENG,New England
N/F,NORWEGIAN FORMULA
N/GENA,NEUTROGENA
N/GRAIN,Nutrigrain
N/I,Northern Ireland
N/I S/SIDE,Northern Ireland Silver Side
N/IONIST,NUTRITIONIST
N/IRISH,North Irish
N/KIN,NAPKIN
N/KINS,Napkins
N/LACE,NECKLACE
N/LAQR,NAIL LACQUER
N/PK,No-Pork
N/POL,NAILPOLISH
N/S,Non stick
N/SGE,NATURAL SAGE
N/SGRS,No Sugars
N/ST,Natures Store
N/TAN,NATURAL TAN
N/TIME,Night time
N/TRUST,NATURES TRUST
N/VALLEY,Nature Valley
N/VIBES,Neon Vibes
NAANBRD,Naan Bread
NAILACTIVE,Nail Active
NAILENEFRENCH,Nail French
NAPS,Nappies
NAS,No Added Sugar
NAT,Natural
NAT/CONFCO,Natural Confectionery Company
NAT/NUTRI,Naturally Nutritious
NATHONEY,Natural Honey
NATPIMIENTO,Natural Pimiento
NATS,Naturals
NATURAL&CLEAN,Natural & Clean
NATURALENERGY,Natural Energy
NATURALFRUIT,Natural Fruit
NATURALPOCKET,Natural Pocket
NATURALSALOE,Naturals Aloe
NATURALSJOJOBA,Naturals jojoba
NATURALSJOJOBA&ORCHID,Naturals jojoba & Orchid
NATURALSOLIVE,Naturals Olive
NATURALSUPERKNOT,Natural Super Knot
NATURALYOGURT,Natural Yogurt
NAVY GREY BLACK,"Navy, grey and black"
NB,New Born
NCE,NIECE
NCEN/ESY,Nice ‘n Easy
NCG,NEW COVENT GARDEN
'N'CREAM,N' Cream
NDG,Nescafe Dolce Gusto
NDLES,NOODLES
NDLES385G,Noodles 385g
NDLS,Noodles
NEAPOLITANICE,NEAPOLITAN ICE
NECKSILICONE,Neck Silicone
NECTRN,NECTARIN
NES,Nescafe 
NES G/BLND,Nescafe Gold Blend
NESCAFE DOLCE GU,Nescafe Dolce Gusto
NEUTRAAIRFRESH,Neutra air fresh
NEV/DESFLOWER,Nevada Desert Flower
NEVDESERT,Nevada desert
NEWPOTATOES,NEW POTATOES
NFC,Not From Concentrate
NFLAND,NEWFOUNDLAND
NGHTGLE,Nightingale
NGRNGE FNE FDS,NEWGRANGE FINE FOODS
NH,NATIONAL HALAL
NIACNMDE,Niacinamide
NIBLS,NIBBLIES
NJB,NEW JOB
NKDV&P,Naked Veg & Proud
NKDW CHSECO,Naked White Cheese Company
NODLE,NOODLE
NOM.,NOMINAL
NON/APP,Non Applicator
NON-BIO,NON BIOLOGICAL
NOODLEPACKET,Noodle Packet
NOODLES&,Noodles and
NOODLES90G,Noodle 90g
NOODLESALAD,Noodle Salad
NORFOLKDINOSAUR,NORFOLK DINOSAUR
NORM,NORMAL
NORM/COMB,NORMAL/COMBINATION
NORM/COMBI,Normal / Combination
NORM/GRSY,Normal/Greasy
NORMALSHAMPOO,Normal Shampoo
NOUGTH&CROSSSES M/PACK(4*15G),Nougth & Crossses Multi Pack(4 x 15g)
NOUR,NOURISHING
NOW&,Now &
NPH,NEPHEW
NPY,NAPPY
NQP,Nigel Quiney Publications
NRB,NOT RETURNABLE BOTTLE
NRTH/CHSE CO,Northumberland Cheese Company
NS,NORTH SHORE
NT,Night
NTCRKR ,Nutcracke
NTCRKR,Nutcracker
NTINE,NICOTINE
NTINE/FR,Nicotine Free
NTR/GLSS,Nutri-Gloss
NTR/GRN,Nutri-grain
NTRLY,Naturally 
NTV,Norbert & Val
NUFN,Nurofen
NUG,NUGGET
NUGS,NUGGETS
NUM,NUMBER
NUTRIGLOSS,Nutri Gloss
NUTRILEUMSMOOTH-INTENSE,Nutrileum Smooth Intensive
NUTRIS,Nutritious
NUTRIWHEY,Nutri Whey
NUTRL,Neutral
NUTRLISING,Neutralising
NUTS375G,Nuts 375g
NV,NON VINTAGE
NWB,NEW BABY
NYB,New York Bakery
NYCC,NEW YORK COFFEE COMPANY
NYD,NEW YORK DINER
NYD/INSP,New York Deli Inspired
NYSC,NEW YORK SOUP CO
NZ,NEW ZEALAND
O DONOHUES,O'Donohues
O HARAS,O'hara
O NO DAD FORGOT,Oh no! Dad's forgotten his jacket again!
O.FRUITS,ORCHARD FRUITS
O.S.S,Oats So Simple
O/BLOSM,Orange Blossom
O/C,ODOUR CONTROL
O/C/B,OVEN CRISP BATTER
O/C/C,OVEN CRISP CRUMB
O/E,ORIENTAL EXPRESS
O/EXP,ORCHARD EXPERIMENT
O/J,Orange Juice
O/KTCHN,ORIENTAL KITCHEN 
O/L/P,Orange Lemon Pineapple
O/LESS,ODOURLESS
O/MEAL,Oat Meal
O/MLK,Oat Milk
O/OIL,OLIVE OIL
O/ORNGE,Outrageous Orange
O/PURPL,OUTRAGEOUS PURPLE
O/REARED,OUTDOOR REARED
O/ROAST,Oven Roast
O/S/S,Oat So Simple
O/SHIELD,OPEN SHIELD
O/SPRAY,Ocean Spray
O/WORK,OVERWORK
OAD,ONE A DAY
OAT&HONEY,Oat & Honey
OAT&LEMON,Oat & Lemon
OATCRISP,Oat Crisp
OATIBIXSULTANA&APPLE,Oatibix Sultana & Apple
OATMLBREAD,Oatmeal Bread
OATS&HON,Oats & Honey
OATS&MILK,Oats & Milk
OATS100G,Oats 100g
OATSSO,Oats So
OATYFLAPJACK,OATY FLAPJACK
OCEANTABLETS,Ocean Tablets
OCN/ESC,Ocean Escape
OFFICEFOLIO,Office Folio
OFOLAY,Of Olay
OFRD,OXFORD
OFTHELABYRINTH,Of The Labyrinth
O'GALLOWAYCARAMEL,O'GALLOWAY CARAMEL
O'GALLOWAYCHOC,O'Galloway Chocolate
O'GALLOWAYLUXURY,O'GALLOWAY LUXURY
O'GALLOWAYSTICKY,O'GALLOWAY STICKY
OIL100ML,Oil 100ml
OIL200M,Oil 200m
OIL200ML,Oil 200ml
OIL4X185G,OIL 4 X 185G
OILED TIGHT,Oiled tights
OKNY,Orkney
OLD IRISH CRMEY,OLD IRISH CREAMERY
OLDSCHOOL,Old School
OLF,OFFICIALLY LOW FAT
OLIVE&CHSE,Olive & Cheese
OLIVE&S/DRD,Olive & Sundried
OLIVE/GAR,Olive Garlic
OLIVESS/FLWR,Olives Sunflower
OLIVESTUFFED,Olive Stuffed
OLIVESWITH,Olives With
OLS,Our little secret
OLYMPICPICTOGRAM,Olympic Pictogram
OMEGA3TUNA,Omega 3 Tuna
OMELETTEBOMBAY,OMELETTE BOMBAY
OMELETTES272G,OMELETTES 272G
OMNIMODUSSTORAGE,OMNI MODUS STORAGE
ON UR ANNIVERS,On Your Anniversary
ONIN,Onion
ONION&,Onion &
ONION&MUSTARD,Onion & Mustard
ONION/R/MARYPASTA,Onion Rosemary Pasta
ONION100G,Onion 100g
ONION175G,Onion 175g
ONIONC/STRIP,Onion Clipstrip
ONIONCHSE,Onion Cheese
ONIONGARLIC,Onion And Garlic
ONIONQUICHE,ONION QUICHE
ONIONSANDWICH,ONION SANDWICH
ONIONSAUSAGEMEAT,ONION SAUSAGEMEAT
ONIONSTUFFING,ONION STUFFING
ONLY EYES 4 U,Only Eyes For You
ONLY FLS AND HRS,ONLY FOOLS AND HORSES
OP/NUTRI,Optimum Nutrition
OPAQU,Opaque
OPAQUE K,Opaque
OPAQUE T,Opaque
OPAQUE TESCO,Opaque
OPQ,Opaque
OPQ HOLD,Opaque
ORA/MANG+P/FRT,"ORANGE, MANGO & PASSIONFRUIT"
ORAL B,Oral-B
ORANGE130G,Orange 130g
ORANGE160G,Orange 160g
ORANGE50GRAMS,Orange 50 grams
ORANGEDESSERT,Orange Dessert
ORANGEJUICE,ORANGE JUICE
ORANGEPACK,Orange Pack
ORANGESANGUINELLO,ORANGE SANGUINELLO
ORCH,Orchid
ORG,ORGANIC
ORG*INS,Organic Ins
ORG*SOBA,Organic Soba
ORG*TAMARI,Organic Tamari
ORG/GRN,Orange/Green
ORG/PAO,Original Pao
ORG10+,Organic 10+
ORGANIC*MOROC,Organic Moroccan
ORGANICAMBLEDOWN,ORGANIC CAMBLEDOWN
ORGANICBARLEY,ORGANIC BARLEY
ORGANICBEEF,ORGANIC BEEF
ORGANICCOCONUT,Organic Coconut
ORGANICDIVINE,ORGANIC DIVINE
ORGANICDOUBLE,ORGAINC DOUBLE
ORGANICEARL,Organic Earl
ORGANICENGLISH,Organic English
ORGANICEX,Organic Extra
ORGANICFARMHOUSE,Organic Farmouse
ORGANICFRESH,ORGANIC FRESH
ORGANICGREEK,ORGANIC GREEK
ORGANICHONEY,Organic Honey
ORGANICL/FAT,Organic Low Fat
ORGANICLAMB,ORGANIC LAMB
ORGANICLEAN,ORGANIC LEAN
ORGANICLEEK,ORGANIC LEEK
ORGANICLOW,Organic Low
ORGANICMUESLI,Organic Muesli
ORGANICMUSHROOM,ORGANIC MUSHROOM
ORGANICNATURAL,Organice Natural
ORGANICPEPPERMINT,Organic Peppermint
ORGANICSEMI,Organic Semi
ORGANICSKIMMED,Organic Skimmed
ORGANICSTEAK,ORGANIC STEAK
ORGANICT/BAGS,Organic Teabags
ORGANICTEA,Organic Tea
ORGANICTUSCAN,ORGANIC TUSCAN
ORGANICWHOLE,Organic Whole
ORGBALSAMIC,Organic Balsamic
ORGCRMY,Organic Creamy
ORGLAMB,Organic Lamb
ORGMUESLI,Organic Muesli
ORGNITN,Organisation
ORGNO,Oregano
ORGS,ORGANICS
ORGSLY,Outrageously
ORGT/BAG,Organic Teabag
ORGT/BAGS,Organic teaBags
ORGX,ORGANIX
ORIEN,ORIENTAL
ORIEN&P/FIC,Oriental & Pacific
ORIENTAL&PACIFIC,Oriental & Pacific
ORIENTAL&PACIFICCHICKEN,Oriental & Pacific Chicken
ORIENTAL&PACIFICTHAI,Oriental & Pacific Thai
ORIENTAL&PACIFICTUNA,Oriental & Pacific Tuna
ORIG,ORIGINAL
ORIG/S,Original Source
ORIGINALC/STRIP,Original Clipstrip
ORIGINALCHEESE,ORIGINAL CHEESE
ORIGINALCOFFEE,Original Coffee
ORIGINALCRUNCHY,Original Crunchy
ORIGINALDE/CAFF,Original Decaffeinated
ORIGINALGRANOLA,Original Granola
ORIGINALIRISH,Original Irish
ORIGINALRECIPE,Original Recipe
ORIGINALS/CORN,Original Sweetcorn
ORIGINALWAGON,Original Wagon
ORNANGE,Orange
ORNG,Orange
ORNG/ MNG,Orange and Mango
ORNG/LEM,Orange Lemon
ORNG/LEM P/APPLESQUASH,"Orange, Lemon And Pineapple Squash"
ORNG/PASSIOFRUIT,Orange/Passion Fruit
ORNGCOOKIES,Orange Cookies
ORNGE,Orange
ORNGFLAV,Orange Flavoured
ORNGJCE,Orange Juice
ORTHO,ORTHODONTIC
OSIDE IN DSIGNS,OUTSIDE IN DESIGNS
OSS,Oats So Simple
OT/EATNP,Off The Eaten Path
OTDRBLE,Outdoorable
OTV,ON THE VINE
OV/TEST,Ovulation Test
OVALHOT,Oval Hot
OXIACTIONCARPET&UPHLSTERYSTAIN,Oxi action carpet & Upholstery stain
P&J,PETE & JOHNNY
P/APL,Pineapple
P/APPLE,PINEAPPLE
P/APPLE&,Pineapple &
P/APPLE& GRPFRT,Pineapple And Grapefruit
P/APPLE/PEAR,Pineapple Pear
P/APPLE+PLUM,Pineapple & Plum
P/APPLEBANA,Pineapple Banana
P/APPLEBANANA,Pineapple Banana
P/APPLECHUNKS,Pineapple Chunks
P/APPLEJELLY,Pineapple Jelly
P/APPLEPIECES,Pineapple Pieces
P/APPLESQUASH,Pineapple Squash
P/APPLJELLY,Pineapple Jelly
P/ART,POUR ARTISTES
P/B,Paperback
P/BIANCO,Pinot Bianco
P/BKD,Perfectly Baked
P/BLUE,PURE BLUE
P/BOX,Pillar Box
P/BUT,PEANUT BUTTER
P/C,PRE COOKED
P/CAKE,PANCAKE
P/CAKES,Pancakes
P/CAL,POUR CALINES
P/CASE,PILLOWCASE
P/CHOICE,Pilgrims Choice
P/CHUM,PEDIGREE CHUM
P/CKES,Pancakes
P/COAT,PETTICOAT
P/COQ,POUR COQUINES
P/COQUT,POUR COQUETTES
P/CORN,Popcorn
P/CORN/BTR,PEPPERCORN BUTTER
P/CORNS,Peppercorns
P/DINA,PIADINA
P/DISCRT,POUR DISCRETES
P/DIVINE,POUR DIVINE
P/EMOU,POUR EMOUSTILLES
P/ENDIA,POUR ENDIABLES
P/EX,POUR EXALTEES
P/EXQUIS,POUR EXQUISES
P/F,POUR FRIMOUSSES
P/FIC,PACIFIC
P/FRSCA D ANGLS,PASTA FRESCA DE ANGELIS
P/FRT,Passion Fruit
P/FRUIT,Passion Fruit
P/FRUITSPRITZ,Passion Fruit Spritz
P/FSTS,Poultry Feasts
P/G,Pinot Grigio
P/GFRT,Pink Grape Fruit
P/GRAN,Pomegranate
P/GRANITE,Pomegranate
P/GRAPHIC,PHOTOGRAPIC
P/GRIGIO,Pinot Grigio
P/GRNTE,Pomegranate
P/GUILL,POUR GUILLERETTES
P/HERO,POUR HEROINES
P/HME,POUR HOMME
P/IER,PREMIER
P/IN,PLUG-IN
P/JNT,Pork Joint
P/LIB,POUR LIBERTINES
P/LINERS,PANTY LINERS
P/LOLITA,POUR LOLITAS
P/M,PRICE MARKED
P/MAIN,POUR PALINES
P/MINT,PEPPERMINT
P/MINTTEA,Pepper Mint Tea
P/MIST,PILLOW MIST
P/MRCLS,Pro-V Miracles
P/MUT,POUR MUTINES
P/NIP,PARSNIP
P/NUT,PEANUT
P/NUT165G,Peanut 165g
P/NUTS,Peanuts
P/ONION,PICKLED ONION
P/ONIONIN,Pickled Onion In
P/ORCH,Pink Orchid
P/OVER,PASSOVER
P/P,PRE PACKED
P/PACK,Prepack
P/PAMPERING,PURELY PAMPERING
P/PARI,POUR PARISIENNE
P/PEPRCRN,Pink Peppercorn
P/PIE,Pork Pie
P/PIES,Pork Pies
P/POETIQU,POUR POETIQUES
P/POURRI,POT POURRI
P/POWER NUTRTON,PUREPOWER NUTRITION
P/PRODCTNS, Pango Productions
P/PSTRY,Puff Pastry
P/PWD,PRESSED POWDER
P/RAF,POUR RAFFINEES
P/RIPE,Perfectly Ripe
P/ROLES,PROFITEROLES
P/RPLN,Protect & Replenish
P/SCE,Pasta Sauce
P/SEEDS,Pumpkin Seeds
P/SG,POUR SAGES
P/SLD,Paper Salad
P/SLEY,PARSLEY
P/SLEY&,Parsley &
P/SLEYSAUCE,Parsley Sauce
P/SNIC,Pinsonic
P/SNIP,Parsnip
P/SOPH,POUR SOPHISTIQUEES
P/TAMOL,PARACETAMOL
P/TEST,Pregnancy Test
P/TIC,PLASTIC
P/TLPS,Pink Tulips
P/TOE,POTATO
P/TOE&CHANA,Potatoe And Chana
P/TOE&FINE,Potatoe & Fine
P/TOE&LEEK,Potatoe & Leek
P/TOEGRILLS,Potatoe Grills
P/TOES,POTATOES
P/TOES&BEEF230G,Potatoes & Beef 230g
P/TOES/HERBS,POTATOES / HERBS
P/TOESNACKS,Potatoe snacks
P/TOEVERMICELLI,Potato Vermicelli
P/TOUJOURS,POUR TOUJOURS
P/UP,Pull Up
P/UPS,Pull Ups
P/WDGES,Potato Wedges
P/WRKOUT,Pre Workout
P473ANDROGRAPHIS,P473 ANDROGRAPHIS
PACIFICCHICKEN,Pacific Chicken
PACIFICTHAI,Pacific Thai
PACK36GM,Pack 36gm
PACKCATCHWEIGHT,PACK CATCHWEIGHT
PACKINCISTERN,Pack in cistern
PACKMULLED,Pack mulled
PACKPISTACHIO,PACK PISTACHIO
PACKPOLISHED,Pack Polished
PACKSCOND,Packs Conditioner
PACKSELN,Pack Selection
PACKSS/POO,Packs Shampoo
PADCLIPSTRIP,Pad Clipstrip
PADDY&SCOTT'S,Paddy & Scott's
PADPASTE,Pad Paste
PADS3PK,Pads 3pk
PADS60,Pads 60
PAILLETT,PAILLETTES
PAILLETT C,PAILLETTED COLORIC
PAILLETT COLORIC,Pailletted Coloric
PAILLETTCOLORIC,Pailletted coloric
PAINT285ML,Paint 285ml
PALMERNOT,Palmer Not
PAMP,PAMPERS
PAMP & CELEBRATE,Pampered and Celebreated
PAMP/MANIC,PAMPERING MANICURE
PAMP/PEDIC,PAMPERING PEDICURE
PAMP/PEDICURE,Pampering Pedicure
PANANGSAUCE,Panang Sauce
PANCLEANERS,Pan Cleaners
PANTONE318C,Pantone 318c
PAPRIKASWT,Paprika Sweet
PAPRYKACRISPS,Papryka Crisps
PAPRYKARZFISH,Paprykarz Fish
PARADEDVD,Parade DVD
PARATHA480G,PARATHA 480G
PARF/DT,Parfum De Toilette
PARFAIT/PANCETTA,"Parfait, Pancetta"
PARFUM,Perfume
PARFUM DE TOILETTE,PDT
PARMESAN&,Parmesan &
PARMGNO,Parmigiano
PARMIGIANOREGGIANO,PARMIGIANO REGGIANO
PARMSN,Parmesan
PARSLEYDRESSING,PARSLEY DRESSING
PARSLEYFLATBREAD,PARSLEY FLATBREAD
PARSLEYSOUP,PARSELY SOUP
PARSNIP&,Parsnip &
PARSNIP380G,PARSNIP 380G
PARSNIPCARROT,PARSNIP CARROT
PARSNIPROASTING,PARSNIP ROASTING
PARTYSIZE,Party Size
PAS/FRUIT,Passion Fruit
PASN,PASSION
PASN/FRT,Passion Fruit
PASN/FRUIT,PASSION FRUIT
PASN/FRUITYOGURT,Passion Fruit Yogurt
PASS.FRUIT,Passion Fruit
PASSIONFRT,Passion Fruit
PASSIONFRT/PEAR,Passionfruit / Pear
PASSIONFRT6X100G,Passionfruit 6x100g
PASSIONFRUIT,Passion Fruit
PASSIONFRUIT165G,Passionfruit 165g
PASSIONFRUIT430G,Passionfruit 430g
PASSNFRT,Passionfruit
PASTA&,Pasta &
PASTA&VEG,Pasta & Veg
PASTABOLOGNAISE,Pasta Bolognese
PASTASAUCE,Pasta Sauce
PASTRYCHEESY,PASTRY CHEESY
PASTRYCHICKEN,PASTRY CHICKEN
PASTRYSALMON,PASTRY SALMON
PASTRYSAUSAGE,PASTRY SAUSAGE
PASTRYSTEAK,PASTRY STEAK
PATE200G,Pate 200g
PATE240G,Pate 240G
PATSRIE,PATISSERIE
PAYG,Pay as you go
PB,PADDYS BATHROOM
PBELLO/MROOM,Portobello Mushroom
PC,PC
PCE,PIECE
PCECHRISTMAS,Piece Christmas
PCEDINNER,Piece Dinner
PCELUXURY,Piece Luxury
PCES,Pieces
PCH,PEACH
PCH/APRICOT,Peach Apricot
PCH/NECTRN,Peach / Nectarine
PCH/PASN/APR,Peach Passionfruit Apricot
PCHD,POACHED
PCHS,POUCHES
PCK,Pack
PCKERS,PECKERS
PCKLD,Pickled
P'CORN,Peppercorn
PCRINO,Pecorino
PDT,PERFUME DE TOILETTE
PEACH&,Peach &
PEACH& APPLE,Peach & Apple
PEACH&ORANGE,Peach & Ornage
"PEACH,APRICOT","PEACH, APRICOT"
PEACHYOGURT,Peach Yogurt
PEACHYOGURT6X50G,Peach Yogurt 6x50g
PEAR/APPLEDRINK,Pear And Apple Drink
PEAR/BANA,PEAR / BANANA
PEAR/BCRNT,Pear Blackcurrant
PEAR100G,Pear 100g
PEARSHAPED,Pear Shaped
PEARSTRAY,Pears Tray
PECN,Pecan
PENDAN,Pendant
PEPCASHEWS,Pepper Cashews
PEPPADEWGOLDEW,Peppadew Goldew
PEPPERCHICKEN,PEPPER CHICKEN
PEPPERCHUTNEY,Pepper Chutney
PEPPEREDW/S,Peppered Wood Smoked
PEPPERMINTTEA,Peppermint Tea
PEPPERPASTA,PEPPER PASTA
PEPPERS&,Peppers And
PEPPERS&LIME,Peppers & Lime
PEPPERSANDWICH,PEPPER SANDWICH
PEPPERSAUCE,Pepper Sauce
PEPR,PEPPER
PEPR&CGETTEBRWN,Pepper And Courgette Brown
PEPR&CHILLI,Pepper & Chilli
PEPR&O/OIL,Pepper & Olive Oil
PEPR&SWEDE,Pepper & Swede
PEPRBATH,Pepper bath
